Model,Dataset,Accuracy,F1,Precision,Recall,CrossVal
XGB,P1,0.53,0.52,0.53,0.53,0.69
XGB,P2,0.49,0.5,0.53,0.49,0.65
XGB,P5,0.47,0.48,0.49,0.47,0.54
XGB,P10,0.46,0.42,0.45,0.46,0.51
CAT,P1,0.41,0.43,0.46,0.41,0.66
CAT,P2,0.49,0.5,0.52,0.49,0.65
CAT,P5,0.49,0.48,0.48,0.49,0.56
CAT,P10,0.48,0.45,0.46,0.48,0.51
SVM,P1,0.53,0.48,0.44,0.53,0.61
SVM,P2,0.53,0.48,0.44,0.53,0.62
SVM,P5,0.54,0.48,0.43,0.54,0.56
SVM,P10,0.52,0.48,0.48,0.52,0.55
RFC,P1,0.53,0.48,0.44,0.53,0.64
RFC,P2,0.51,0.5,0.5,0.51,0.66
RFC,P5,0.51,0.47,0.43,0.51,0.58
RFC,P10,0.56,0.51,0.55,0.56,0.57
BENCH,P1,0.53,0.48,0.44,0.53,0.73
BENCH,P2,0.47,0.47,0.47,0.47,0.66
BENCH,P5,0.54,0.55,0.57,0.54,0.57
BENCH,P10,0.45,0.46,0.49,0.45,0.56
