,HK-RFC,HK-XGB,HK-SVM,ACT-HK-RFC,ACT-HK-XGB,ACT-HK-SVM,MID-P-FIXED-HK-RFC,MID-P-FIXED-HK-XGB,MID-P-FIXED-HK-SVM,HIGH-P-HK-RFC,HIGH-P-HK-XGB,HIGH-P-HK-SVM,HIGH-P-LOW-K-HK-RFC,HIGH-P-LOW-K-HK-XGB,HIGH-P-LOW-K-HK-SVM,HIGH-P-VERY-LOW-K-HK-RFC,HIGH-P-VERY-LOW-K-HK-XGB,HIGH-P-VERY-LOW-K-HK-SVM,SVM,HOME,FAV
pnl,-63.03,-47.73,-81.11,,,,-41.18,-50.83,-114.07,-98.74,0.0,,-11.48,0.0,,-5.16,0.0,,-114.07,-3.53,-69.93
bankroll,36.97,52.27,18.89,,,,58.82,49.17,-14.07,1.26,100.0,,88.52,100.0,,94.84,100.0,,-14.07,96.47,30.07
accuracy,0.53,0.5,0.39,0.52,0.5,0.53,0.52,0.5,0.53,0.52,0.5,0.53,0.52,0.5,0.53,0.52,0.5,0.53,0.53,0.45,0.55
sharpe,-0.04,-0.03,-0.03,,,,-0.06,-0.03,-0.06,-0.15,,,-0.04,,,-0.03,,,-0.06,-0.0,-0.04
sortino,-inf,-inf,-inf,,,,-inf,-inf,-inf,-0.11,,,-0.21,,,-0.2,,,-inf,-inf,-inf
avg_payoff,-0.04,-0.03,-0.04,,,,-0.05,-0.03,-0.06,-0.63,,,-0.07,,,-0.03,,,-0.06,-0.0,-0.04
number_of_bets,1714.0,1528.0,1868.0,1767.0,1528.0,1870.0,793.0,1586.0,1870.0,156.0,0.0,1870.0,156.0,0.0,1870.0,156.0,0.0,1870.0,1870.0,1870.0,1870.0
home_bets,1022.0,945.0,1009.0,1123.0,945.0,1195.0,546.0,977.0,1195.0,150.0,0.0,1195.0,150.0,0.0,1195.0,150.0,0.0,1195.0,1195.0,1870.0,1166.0
away_bets,692.0,569.0,859.0,644.0,569.0,668.0,247.0,594.0,668.0,6.0,0.0,668.0,6.0,0.0,668.0,6.0,0.0,668.0,668.0,0.0,703.0
draw_bets,0.0,14.0,0.0,0.0,14.0,7.0,0.0,15.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,0.0,1.0
